Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
16-04-12,23,18,7.19,3.5,368
1/1/2013,16,42.15,7.45,3.8,265
2/1/2013,16,46.7,7.99,2.5,269
3/1/2013,16,47.15,8.05,2.3,248
4/1/2013,10,22,8.18,4.6,199
5/1/2013,11,35,8.4,3.8,280
7/1/2013,10,28,8.41,4.2,181
9/1/2013,12,34.8,8.6,3.6,254
13-01-13,13,30.2,7.99,3.1,267
14-01-13,12,32.7,8.3,3.6,255
15-01-13,12,34.7,8.5,3.9,270
20-01-13,14,50.2,8.18,3.4,254
21-01-13,13,49.3,8.34,2.4,256
23-01-13,14,65,8.4,2.4,242
24-01-13,14,56,8.3,3,256
26-01-13,14,60,8.44,3,257
27-01-13,12,66,8.44,2.4,255
29-01-13,11.3,30.84,8.9,7,250
30-01-13,21,13,8.13,3.6,165
31-01-13,13,34,8.8,3.6,272
1/2/2013,14,30.35,8.42,3.6,252
7/2/2013,13,330,8.4,5.5,271
9/2/2013,13,202,8.35,3.6,245
12/2/2013,14,94,8.44,4.8,280
13-02-13,12,89,8.25,2.5,160
14-02-13,14,70,8.53,3.6,289
15-02-13,13.5,74.7,8.42,3.7,202
16-02-13,14,52.7,8.36,4.8,298
18-02-13,13,60,8.46,4.8,219
19-02-13,14,50.2,8.41,2,190
20-02-13,12,55.2,8.24,2.3,172
22-02-13,12,45.26,8.12,2.4,148
23-02-13,13,49.15,8.4,3.3,280
24-02-13,15,30,8.32,3.3,177
26-02-13,12,35.2,8.25,2.7,192
27-02-13,12,40.7,8.3,2.1,180
28-02-13,12,43.2,8.08,2.7,204
2/3/2013,13,48,8.15,2.8,213
3/3/2013,14,54,8.15,2.3,219
4/3/2013,13,38,8.25,2.8,249
6/3/2013,16,45,8.18,2.8,195
8/3/2013,16,42,8.35,2.7,219
11/3/2013,16,54,8.2,2.2,204
14-03-13,17,98,8.35,3.9,189
19-03-13,16,50,8.18,2.4,199
20-03-13,16,60,8.4,3.3,230
21-03-13,15,54,8.1,3.2,214
22-03-13,16,38,8.24,3.8,199
23-03-13,16,48,8.3,2.9,227
24-03-13,16,64.2,8.3,2.3,247
26-03-13,16,64.2,8.9,2.9,209
27-03-13,16,52.7,8.18,2.7,198
28-03-13,16,63,8.25,2.3,209
29-03-13,13,40,8.45,2.3,235
5/4/2013,14,8,8.2,3.1,154
7/4/2013,16,16.2,8.7,3.5,168
11/4/2013,18.7,7.2,8.54,5,232
12/4/2013,18,12.7,8.4,3.7,185
14-04-13,19,16.78,8.36,4.6,182
15-04-13,19,18.25,8.54,4.5,162
16-04-13,20,14.76,8.4,4.7,169
17-04-13,19,12.7,8.56,3.6,195
19-04-13,20,8.2,8.2,2.1,155
20-04-13,21,9.12,8.17,2.4,171
24-04-13,19,13.7,8.3,3.7,230
25-04-13,20,17.25,8.4,4.7,220
28-04-13,20,10.3,8.36,4.8,245
30-04-13,18,12,8.18,4.9,235
3/5/2013,19,13.2,8.21,4.2,248
7/5/2013,19,14.2,8.48,4.5,245
11/5/2013,21.5,8,8.4,2.6,215
14-05-13,22,16.7,8.3,3.7,245
16-05-13,20,19.7,8.14,4.2,213
17-05-13,24,17,8.05,4.7,202
18-05-13,23,20,8.7,4.5,207
21-05-13,24,17.48,8.14,4.9,210
24-05-13,24,12.7,8.2,3.7,195
27-05-13,26,19.2,8.4,2.6,165
28-05-13,24,16.7,8.15,3.4,223
30-05-13,27,20.28,8.4,2.4,240
1/6/2013,24,23.2,8.24,4.6,224
2/6/2013,23,21.7,8.1,4.5,209
3/6/2013,24,22,8.56,4.9,224
4/6/2013,24,26,8.3,3.9,245
5/6/2013,24,21.2,8.46,2.6,155
8/6/2013,29,23,8.4,2.9,223
10/6/2013,26,25.12,8.31,2.9,120
11/6/2013,24,26.12,8.16,2.3,155
12/6/2013,26,24.2,8.4,2.4,145
14-06-13,26,28.34,8.9,2.7,214
15-06-13,26,30.7,8.15,2.6,197
17-06-13,26,31.16,8.12,2.6,150
18-06-13,26,33.16,8.94,2.6,155
19-06-13,27,28.12,8.46,2.6,155
20-06-13,28,33.26,8.37,3.6,200
21-06-13,29,36,8.7,2.9,234
22-06-13,29,32,8.15,3.4,215
23-06-13,28,26.34,8.35,3.4,171
25-06-13,24,29.25,8.3,2.6,235
27-06-13,26,30.2,8.15,2.6,198
29-06-13,26,102,8.9,3.3,216
1/7/2013,26,80,8.18,3.3,242
3/7/2013,26,60,8.4,3.9,199
4/7/2013,26,55,8.3,3.3,168
7/7/2013,30,60,8.2,3.7,180
8/7/2013,30,70.2,8.4,3.3,202
9/7/2013,30,127,8.51,3.9,225
12/7/2013,29,132,8.4,3.4,239
14-07-13,29,70,8.4,3.9,230
16-07-13,29,127,8.45,4.5,222
19-07-13,29,60,8.45,4.9,195
22-07-13,28,168,8.5,4.2,255
24-07-13,29,136,8.3,4.5,235
25-07-13,29,242,8.45,4.3,240
30-07-13,29,53,8.35,4.9,188
2/8/2013,29,110,8.52,4.9,245
8/8/2013,27,50,8.35,4.3,169
10/8/2013,27,30,8.35,4.1,224
12/8/2013,28,48,8.5,4.4,245
15-08-13,29,320,8.3,4.8,234
16-08-13,29,205,8.78,4.5,245
18-08-13,28,130,8.4,4.3,238
19-08-13,28,114,8.25,4.8,198
21-08-13,28,195,8.28,4.3,235
23-08-13,28,90,8.2,4.9,235
24-08-13,28,96,8.4,4.5,213
25-08-13,28,78,8.3,4.8,224
28-08-13,28,54,8.3,4.1,218
2/9/2013,28,42,8.3,4.5,209
3/9/2013,27,39,8.42,4.1,206
5/9/2013,27,38,8.21,4.7,217
6/9/2013,27,35,8.45,4.2,209
7/9/2013,27,32,8.2,4.5,207
9/9/2013,27,22,8.14,4.1,208
11/9/2013,27,40,8.35,3.9,220
16-09-13,25.3,48,8.14,2.7,220
18-09-13,25,41.2,8.4,2.6,206
19-09-13,25,38,8.38,2.3,208
21-09-13,26,30,8.23,3.9,223
23-09-13,25,25,8.78,3.7,213
24-09-13,25.3,26.16,8.49,3.4,215
25-09-13,25,23,8.23,3.8,197
26-09-13,26,20,8.21,3.2,221
30-09-13,26,21,8.24,2.7,209
3/10/2013,26,9.2,8.85,2.3,275
5/10/2013,26,15,8.35,2.7,199
6/10/2013,26,10,8.1,3.1,210
7/10/2013,26,12,8.41,2.7,198
8/10/2013,26,15,8.14,2.2,218
11/10/2013,28,15,8.23,2.5,202
14-10-13,28,18.2,8.2,3.5,229
16-10-13,21,11,8.16,2.4,175
17-10-13,22,11.2,8.2,2.4,170
18-10-13,21,9.2,8.24,2.3,200
20-10-13,20,17,8.11,2.6,201
21-10-13,23,14,8.25,1.7,199
22-10-13,23.1,16,8.13,1.6,218
23-10-13,18,12,8.16,2.4,205
27-10-13,21,19,8.41,2.1,230
28-10-13,21,21,8.23,2.8,204
29-10-13,23,11,7.28,3.5,170
29-10-13,21,20,8.28,2.1,230
1/11/2013,21,27,8.2,2.1,213
2/11/2013,20,31,8.48,2.9,230
28-11-13,16.5,29,8.34,6.6,307
29-11-13,15.8,30,8.29,4.5,195
30-11-13,16,27,8.12,3.8,196
1/12/2013,16,29,8.16,3.9,192
3/12/2013,15,33,8.15,5.8,197
5/12/2013,15,28,8.18,5.7,203
6/12/2013,15,34,8.5,5.3,215
7/12/2013,15,31,8.21,5.8,186
8/12/2013,15,32,8.23,2.6,180
10/12/2013,14.8,33,8.4,5.8,195
11/12/2013,14.8,38,8.15,5.3,209
13-12-13,13.9,32,8.42,5.8,191
15-12-13,13,32,8.22,4.2,170
16-12-13,14,32,8.3,4.9,190
20-12-13,12.9,23,8.27,4.8,170
21-12-13,12.7,21,8.18,4.3,184
23-12-13,13,25,8.21,4.5,309
24-12-13,13,28,8.3,4.1,215
25-12-13,13,26,8.18,3.8,209
28-12-13,11,23,8.4,4.5,218
29-12-13,11,19.7,8.05,3.8,185
1/1/2014,10,26,8.42,4.5,280
2/1/2014,10,26,8.23,4.8,192
3/1/2014,10,28,8.45,4.3,228
5/1/2014,9,24,8.14,4.3,13
6/1/2014,10,21,8.07,3.8,169
8/1/2014,10,23,8.27,3.9,164
9/1/2014,10,25,8.4,4.2,180
10/1/2014,10,21,8.1,3.8,194
11/1/2014,10,27,8.29,3.8,209
12/1/2014,11,23,8.41,2.6,205
13-01-14,10,21,8.38,2.6,210
14-01-14,11,20,8.4,2.8,206
15-01-14,11,23.7,8.2,3.3,167
16-01-14,11,18,8.41,3.5,193
17-01-14,11,19,8.21,3.7,213
18-01-14,11,22,8.41,3.6,171
19-01-14,13,20,8.5,3.1,178
20-01-14,11,18.2,8.3,3.5,193
21-01-14,11,12,8.41,3.3,209
22-01-14,12.5,15,8.9,3.8,170
23-01-14,12,7,8.02,2.6,165
24-01-14,11,15,8.4,2.8,199
25-01-14,11,13,8.31,3.3,173
26-01-14,12.3,8.12,8.12,2.6,180
27-01-14,11,13,8.35,2.7,172
28-01-14,21,11,8.09,3.4,159
29-01-14,21,12,8.4,3.5,198
31-01-14,21,17,8.42,3.4,178
1/2/2014,16,14,8.35,3.6,183
2/2/2014,16,12.8,8.28,2.8,180
3/2/2014,13,19.35,8.54,3.4,176
4/2/2014,13,13,8.15,3.7,195
5/2/2014,12.2,9.2,8.2,2.8,200
6/2/2014,13,14,8.48,3.7,181
7/2/2014,13,18,8.44,3.6,198
8/2/2014,14,16,8.26,3.3,184
9/2/2014,12,12,8.7,2.8,170
10/2/2014,12,17,8.32,3.3,196
11/2/2014,13,15,8.52,3.6,191
12/2/2014,13,14,8.34,3.5,178
13-02-14,13,19,8.51,3.7,197
14-02-14,13,18,8.23,3.5,173
15-02-14,13,14.28,8.42,3.6,179
16-02-14,13,18,8.9,3.5,197
17-02-14,13,15.9,8.29,3.7,181
18-02-14,13,20,8.44,3.8,199
19-02-14,13,17,8.35,3.7,192
20-02-14,13,13.8,8.7,3.6,205
21-02-14,14,20,8.42,3.5,194
22-02-14,14,17.9,8.22,3.2,164
22-02-14,14,17.9,8.22,3.2,164
23-02-14,14,21,8.26,3.9,167
24-02-14,15,20,8.43,3.7,185
25-02-14,16,19.2,8.29,3.6,198
26-02-14,14,17,8.4,3.8,180
27-02-14,14,21,8.38,3.5,180
28-02-14,15,19,8.22,3.7,199
1/3/2014,14,22,8.5,3.8,209
2/3/2014,15,19,8.26,3.4,197
3/3/2014,15,20,8.34,3.8,181
4/3/2014,15,18,8.4,3.6,170
5/3/2014,18,18.16,8.38,2.8,165
6/3/2014,20,16,8.4,3.1,172
7/3/2014,20.2,15,8.32,3.1,182
8/3/2014,11.8,8.02,8.15,2.8,197
9/3/2014,21,7.4,8.07,2.6,170
10/3/2014,21.4,8.2,8.16,2.8,169
11/3/2014,18,17,8.41,2.7,192
11/3/2014,18,17,8.41,2.7,192
12/3/2014,14,18,8.54,3.6,163
13-03-14,17,60,8.46,3.9,199
15-03-14,17,67,8.32,3.2,202
16-03-14,17,53,8.46,3.4,172
17-03-14,17,45,8.24,3.7,181
19-03-14,20,56,8.25,3.6,204
20-03-14,20,84,8.47,3.3,196
21-03-14,20,35,8.27,3.9,197
22-03-14,20,32,8.38,3.6,180
23-03-14,14,40,8.2,3.7,189
25-03-14,16,27,8.14,3.7,167
26-03-14,17,35,8.29,3.8,198
27-03-14,16,43,8.32,3.3,174
28-03-14,17,43,8.2,3.9,193
29-03-14,17,48,8.84,3.8,199
