Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-20,12,15,7.39,5.7,246,71.9
02-01-20,13,15,7.41,5.7,295,71.9
03-01-20,14,19,7.45,5.9,244,68.7
04-01-20,14,15,7.29,6.4,219,71.9
05-01-20,14,12,7.49,6.1,230,74.7
06-01-20,14,20,7.19,6.4,315,67.9
07-01-20,14,22,7.49,6.1,214,66.5
08-01-20,14,25,7.17,6.7,270,64.6
09-01-20,15,19,7.41,6.3,289,68.7
10-01-20,13,15,7.23,6.6,219,71.9
11-01-20,13,18,7.39,6.3,266,69.4
12-01-20,14,19,7.28,6.8,419,68.7
13-01-20,14,19,7.27,6.5,366,68.7
14-01-20,15,23,7.29,6.3,276,65.9
15-01-20,15,18,7.39,6.1,329,69.4
16-01-20,13,25,7.33,6.4,260,64.6
17-01-20,13,29,7.69,6.8,316,62.5
18-01-20,12,14,7.22,6.3,260,72.8
19-01-20,12,18,7.39,6.1,246,69.4
20-01-20,13,15,7.43,6.4,266,71.9
21-01-20,14,12,7.23,6.1,249,74.7
22-01-20,14,15,7.45,6.4,216,71.9
23-01-20,15,17,7.29,6.2,314,70.2
24-01-20,15,12,7.42,6.7,216,74.7
25-01-20,15,19,7.49,6.1,219,68.7
26-01-20,14,15,7.29,6.4,234,71.9
27-01-20,15,12,7.25,5.9,219,74.7
28-01-20,14,17,7.31,5.7,199,70.2
29-01-20,15,16,7.49,6.4,219,71.1
30-01-20,16,12,7.19,6.1,225,74.7
31-01-20,16,15,7.45,6.7,216,71.9
01-02-20,15,12,7.31,6.1,208,74.7
02-02-20,16,20,7.7,6.4,345,67.9
03-02-20,17,22,7.88,6.4,230,66.5
04-02-20,15,19,7.41,5.9,290,68.7
05-02-20,15,17,7.39,5.8,216,70.2
06-02-20,16,13,7.52,6.3,290,73.8
07-02-20,14,12,7.22,6.7,246,74.7
08-02-20,15,17,7.45,6.8,295,70.2
09-02-20,15,12,7.59,6.2,249,74.7
10-02-20,16,14,7.63,6.1,219,72.8
11-02-20,15,11,7.27,6.3,226,75.6
12-02-20,14,15,7.19,6.5,211,71.9
13-02-20,14,17,7.45,6.1,240,70.2
14-02-20,12,15,7.25,6.5,246,71.9
15-02-20,13,18,7.2,6.4,276,69.4
16-02-20,14,15,7.25,6.1,246,71.9
17-02-20,13,16,7.4,6.2,270,71.1
18-02-20,14,19,7.32,6.4,246,68.7
19-02-20,15,15,7.45,6.3,217,71.9
