Date,Temperature (°C),Turbidity (NTU),pH,Dissolved Oxygen (mg/l)
20-06-19,29.67,201.35,2.31,9.31
20-06-19,29.48,204.74,1.74,9.39
20-06-19,29.67,201.35,2.31,9.31
20-06-19,29.48,126.68,2.35,10.1
20-06-19,29.48,126.68,2.35,10.1
20-06-19,29.67,107.67,2.42,9.05
20-06-19,29.67,107.67,2.42,9.05
20-06-19,29.67,238.68,2.35,9.24
20-06-19,29.67,238.68,2.35,9.24
20-06-19,29.48,204.74,1.74,9.39
23-06-19,29.48,33,6.91,7.67
23-06-19,29.48,33,6.91,7.67
23-06-19,29.48,34.35,6.64,8.62
23-06-19,29.48,34.35,6.64,8.62
23-06-19,29.39,45.89,5.58,9.62
23-06-19,29.39,45.89,5.58,9.62
23-06-19,29.48,48.61,6.34,9.36
23-06-19,29.48,48.61,6.34,9.36
23-06-19,29.48,52,6.64,9.31
23-06-19,29.48,52,6.64,9.31
23-06-19,29.39,40.46,6.61,9.5
23-06-19,29.39,40.46,6.61,9.5
23-06-19,29.48,31.64,6.64,9.62
23-06-19,29.48,31.64,6.64,9.62
23-06-19,29.29,68.3,6.91,9.34
23-06-19,29.29,68.3,6.91,9.34
23-06-19,30.7,54.04,7.63,2.04
23-06-19,30.7,54.04,7.63,2.04
23-06-19,30.89,60.83,7.06,2.11
23-06-19,30.89,60.83,7.06,2.11
23-06-19,30.79,35.03,7.37,1.99
23-06-19,30.79,35.03,7.37,1.99
23-06-19,30.89,56.76,7.44,1.95
23-06-19,30.89,56.76,7.44,1.95
23-06-19,30.98,38.43,7.14,2.04
23-06-19,30.98,38.43,7.14,2.04
23-06-19,30.79,38.43,7.56,2.49
23-06-19,30.79,38.43,7.56,2.49
23-06-19,32.11,29.6,7.18,2.76
23-06-19,32.11,29.6,7.18,2.76
23-06-19,31.26,52,6.8,2.95
23-06-19,31.26,52,6.8,2.95
23-06-19,31.17,47.93,7.21,2.73
23-06-19,31.17,47.93,7.21,2.73
23-06-19,31.17,44.54,7.25,2.73
23-06-19,31.17,44.54,7.25,2.73
23-06-19,31.92,54.04,6.95,2.83
23-06-19,31.92,54.04,6.95,2.83
23-06-19,30.98,48.61,7.25,2.76
23-06-19,30.98,48.61,7.25,2.76
23-06-19,31.07,37.75,7.21,2.76
23-06-19,31.07,37.75,7.21,2.76
23-06-19,30.98,53.36,7.21,2.8
23-06-19,30.98,53.36,7.21,2.8
23-06-19,31.07,50.65,7.21,2.8
23-06-19,31.07,50.65,7.21,2.8
23-06-19,31.92,49.97,6.99,2.9
23-06-19,31.92,49.97,6.99,2.9
23-06-19,31.07,43.86,7.25,2.8
23-06-19,31.07,43.86,7.25,2.8
24-09-19,30.14,614.08,3.26,17.04
24-09-19,30.14,614.08,3.26,17.04
13-10-19,25.58,35.03,1.93,1.46
13-10-19,25.49,37.75,2,1.46
13-10-19,25.49,37.75,2,1.46
13-10-19,25.49,29.6,2.12,1.46
13-10-19,25.49,29.6,2.12,1.46
13-10-19,25.49,39.78,1.93,1.46
13-10-19,25.49,39.78,1.93,1.46
13-10-19,25.49,30.96,2.16,1.46
13-10-19,25.49,30.96,2.16,1.46
13-10-19,25.49,52,2,1.46
13-10-19,25.49,52,2,1.46
13-10-19,25.49,34.35,1.97,1.46
13-10-19,25.49,34.35,1.97,1.46
13-10-19,25.49,37.75,2.08,1.46
13-10-19,25.49,37.75,2.08,1.46
13-10-19,25.49,53.36,1.78,1.46
13-10-19,25.49,53.36,1.78,1.46
13-10-19,25.49,34.35,2,1.46
13-10-19,25.49,34.35,2,1.46
13-10-19,25.58,47.25,2.23,1.46
13-10-19,25.58,47.25,2.23,1.46
13-10-19,24.84,45.22,1.93,1.46
13-10-19,24.84,45.22,1.93,1.46
13-10-19,24.93,58.11,1.97,1.46
13-10-19,24.93,58.11,1.97,1.46
13-10-19,24.84,53.36,1.74,1.46
13-10-19,24.84,53.36,1.74,1.46
13-10-19,24.84,41.82,1.7,1.46
13-10-19,24.84,41.82,1.7,1.46
13-10-19,24.84,41.14,1.89,1.46
13-10-19,24.84,41.14,1.89,1.46
13-10-19,24.84,42.5,1.89,1.46
13-10-19,24.84,42.5,1.89,1.46
13-10-19,24.84,58.11,1.93,1.46
13-10-19,24.84,58.11,1.93,1.46
13-10-19,24.84,49.29,1.93,1.46
13-10-19,24.84,49.29,1.93,1.46
13-10-19,24.84,62.87,1.66,1.46
13-10-19,24.84,62.87,1.66,1.46
13-10-19,24.74,57.43,1.62,1.46
13-10-19,24.74,57.43,1.62,1.46
13-10-19,24.74,45.89,1.89,1.46
13-10-19,24.74,45.89,1.89,1.46
13-10-19,24.74,52,1.74,1.46
13-10-19,24.74,52,1.74,1.46
13-10-19,25.67,45.89,2.35,1.46
13-10-19,25.67,45.89,2.35,1.46
13-10-19,25.58,45.89,2.31,1.46
13-10-19,25.58,45.89,2.31,1.46
13-10-19,25.58,32.32,1.62,1.46
13-10-19,25.58,32.32,1.62,1.46
13-10-19,25.49,40.46,2.16,1.46
