Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,17.17014785,24.1311828,7.519373118,4.75191129,299.7259543,51.90322581
Feb,15.5544636,27.76661877,7.490098563,4.742871647,319.983659,55.90689655
Mar,16.87201613,23.4265681,7.574239068,4.50147043,340.288871,54.31612903
Apr,16.8909537,23.95492593,7.598167778,4.477522222,322.2351111,53.15666667
May,20.55850358,28.56115591,7.545153763,4.591655018,325.0344624,53.10645161
Jun,21.4574537,29.69814815,7.690386111,4.645037037,338.8390278,50.56
Jul,21.25287634,48.23064516,13.53738006,4.680576165,326.3625134,48.81612903
Aug,22.71516129,36.07414874,7.611187545,4.412057348,349.1998029,48.07419355
Sep,22.51336111,27.83203704,7.50966037,4.488809259,333.8689074,50.56666667
Oct,19.80375448,22.0594086,7.66787509,4.668523297,320.8336559,53.8
Nov,17.64210648,23.75416667,7.63042963,4.397759259,325.2247917,50.04666667
Dec,17.4380466,23.76738351,7.607918369,4.48706362,330.0814875,53.29354839
