Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-18,16.21375,27.19648849,7.384375,7.219280333,231.9375,63.4
02-01-18,13.00625,31.86113449,7.578375,6.059921363,225.725,61.1
03-01-18,15.48125,32.11953049,7.887375,8.131812392,237.35625,61
04-01-18,16.8,29.65917648,7.49825,8.038078421,253.55,62.1
05-01-18,18.7125,37.23007248,7.426,7.781844451,279.525,58.9
06-01-18,18.15625,27.61346848,7.3990625,7.88186048,311.375,63.2
07-01-18,18.9125,32.24373948,7.3386875,8.085001509,275.94375,60.9
08-01-18,19.575,42.13026048,7.386125,5.956892539,252.2625,57.3
09-01-18,19.26875,37.20115648,7.413875,6.000658568,252.51875,58.9
10-01-18,19.18125,31.27205248,7.3735,6.406924597,257.525,61.4
11-01-18,17.375,29.59294848,7.319375,7.750690627,247.1875,62.2
12-01-18,9.73,24.39634448,5.77525,7.688206656,245.85,50
13-01-18,14.01625,30.67224048,7.323625,6.206972685,229.7625,61.7
14-01-18,13.833125,30.96188647,7.3185625,6.122613714,229.58125,61.5
15-01-18,13.65,31.25153247,7.3135,6.038254744,229.4,61.4
16-01-18,13.5625,31.32242847,7.324375,6.032020773,231.5625,61.4
17-01-18,13.475,31.39332447,7.33525,6.025786802,233.725,61.3
18-01-18,13.3875,31.46422047,7.346125,6.019552832,235.8875,61.3
19-01-18,13.3,31.53511647,7.357,6.013318861,238.05,61.3
20-01-18,13.2125,31.60601247,7.367875,6.00708489,240.2125,61.2
21-01-18,13.125,31.67690847,7.37875,6.00085092,242.375,61.2
22-01-18,13.0375,31.65253917,7.420375,5.994654257,240.9875,61.2
23-01-18,12.95,31.62816987,7.462,5.988457594,239.6,61.2
24-01-18,12.8625,31.60380056,7.503625,5.982260931,238.2125,61.2
25-01-18,12.775,31.57943126,7.54525,5.976064268,236.825,61.2
26-01-18,12.6875,31.55506196,7.586875,5.969867606,235.4375,61.3
27-01-18,12.6,31.53069266,7.6285,5.963670943,234.05,61.3
28-01-18,12.5125,31.50632336,7.670125,5.95747428,232.6625,61.3
29-01-18,12.425,31.48195406,7.71175,5.951277617,231.275,61.3
30-01-18,12.3375,31.45758476,7.753375,5.945080954,229.8875,61.3
31-01-18,12.25,31.43321546,7.795,5.938884292,228.5,61.3
01-02-18,15.280625,26.69009616,7.6500625,7.135812629,233.20625,63.7
02-02-18,12.2625,30.69697686,7.90325,6.182740966,225.85,61.6
03-02-18,14.8625,31.48510755,8.21175,8.151544303,232.8375,47.5
04-02-18,16.30625,28.58573825,7.8665,8.05159764,246.075,62.7
05-02-18,17.96875,34.96761895,7.8275,7.792275977,272.4375,59.8
06-02-18,17.4125,26.28699965,7.819125,7.876704315,300.05,63.9
07-02-18,18.075,30.60013035,7.787,8.064257652,256.35,61.7
08-02-18,18.675,41.08201105,7.8701875,5.961185989,229.68125,57.6
09-02-18,18.5875,35.15139175,7.93775,6.014364326,226.2625,59.7
10-02-18,18.375,29.31452245,7.92,6.514417663,229.5,62.3
11-02-18,16.6375,27.7437408,7.8663125,7.758068589,217.88125,63.1
12-02-18,9.251875,22.62139664,6.34340625,7.679844514,216.590625,51
13-02-18,12.25625,26.50842749,8.363625,7.52349544,221.175,49.3
14-02-18,12.2375,26.09389584,8.37275,7.645271365,223.15,49.5
15-02-18,12.21875,25.67936419,8.381875,7.767047291,225.125,49.6
16-02-18,12.2,25.26483254,8.391,7.888823216,227.1,49.8
17-02-18,12.30625,25.47530088,8.368875,7.907474142,227.98125,49.7
18-02-18,12.4125,25.68576923,8.34675,7.926125067,228.8625,49.6
19-02-18,12.51875,25.89623758,8.324625,7.944775993,229.74375,49.5
20-02-18,12.625,26.10670593,8.3025,7.963426918,230.625,49.5
21-02-18,12.78125,24.68030356,8.258875,7.982410405,228.90625,50.1
22-02-18,12.9375,23.2539012,8.21525,8.001393891,227.1875,50.7
23-02-18,13.09375,21.82749883,8.171625,8.020377378,225.46875,51.3
24-02-18,13.25,20.40109647,8.128,8.039360864,223.75,52
25-02-18,13.40625,18.9746941,8.084375,8.058344351,222.03125,52.7
26-02-18,13.5625,17.54829174,8.04075,8.077327837,220.3125,53.5
27-02-18,13.71875,16.12188937,7.997125,8.096311324,218.59375,71
28-02-18,13.875,14.69548701,7.9535,8.11529481,216.875,72.2
01-03-18,14.3975,8.925334643,7.39675,7.053028297,209.375,77.5
02-03-18,11.59375,10.68643228,7.611875,6.306386783,205.125,75.9
03-03-18,14.34375,14.01469357,7.909625,8.171750637,213.51875,72.8
04-03-18,15.9375,12.68670486,7.598,8.065239492,229.85,74
05-03-18,17.375,19.88996615,7.582,7.802478346,262.65,68
06-03-18,16.84375,14.15572744,7.5819375,7.8709672,292.075,72.7
07-03-18,17.4375,20.16211373,7.5678125,8.042581054,246.15625,67.8
08-03-18,18,33.24975002,7.6765,5.964194908,222.55,60.5
09-03-18,18.15625,28.32801132,7.773625,6.026433763,221.50625,62.8
10-03-18,17.84375,24.59377261,7.76825,6.619922617,229.025,64.9
11-03-18,16.25,25.2345339,7.79475,7.763411471,215.575,64.5
12-03-18,9.19875,22.28967019,6.3728125,7.669400325,213.78125,51.1
13-03-18,13.09375,29.04639175,8.04625,8.019330127,222.8875,48.4
14-03-18,12.9375,29.02998831,7.9775,8.000509929,224.275,62.5
15-03-18,12.78125,29.01358488,7.90875,7.981689731,225.6625,62.5
16-03-18,12.625,28.99718144,7.84,7.962869533,227.05,62.5
17-03-18,12.46875,28.980778,7.77125,7.944049336,228.4375,62.5
18-03-18,12.3125,28.96437457,7.7025,7.925229138,229.825,62.5
19-03-18,12.15625,28.94797113,7.63375,7.90640894,231.2125,62.5
20-03-18,12,28.93156769,7.565,7.887588742,232.6,62.5
21-03-18,12.28125,29.13391425,7.5325,7.900018544,233.675,62.4
22-03-18,12.5625,29.33626082,7.5,7.912448346,234.75,62.3
23-03-18,12.89375,29.40578677,7.5485,7.924973211,238.575,62.3
24-03-18,13.225,29.47531272,7.597,7.937498075,242.4,62.2
25-03-18,13.55625,29.54483868,7.6455,7.95002294,246.225,62.2
26-03-18,13.8875,29.61436463,7.694,7.962547805,250.05,62.2
27-03-18,14.21875,29.68389058,7.7425,7.97507267,253.875,62.1
28-03-18,14.55,29.75341653,7.791,7.987597535,257.7,62.1
29-03-18,14.88125,29.82294249,7.8395,8.000122399,261.525,62.1
30-03-18,15.2125,29.89246844,7.888,8.012647264,265.35,62
31-03-18,15.54375,29.96199439,7.9365,8.025172129,269.175,62
01-04-18,14.739375,28.43777034,7.8559375,6.965821994,250.84375,62.8
02-04-18,12.225,31.6013406,8.126,6.425486965,248.65,47.5
03-04-18,15.2,33.92116086,8.332,8.188276935,253.8,46.7
04-04-18,17.01875,30.61598112,7.973,8.076066906,268.575,61.7
05-04-18,18.30625,35.09205138,7.899,7.810731877,303.1625,59.8
06-04-18,17.875,28.75562164,7.82625,7.864146848,329.75,62.6
