Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-04-20,17.43470052,26.079512,6.453989583,7.055261273,217.4408854,49.5
02-04-20,18.53273438,39.62135153,6.634645833,7.117855477,212.2151042,58.1
03-04-20,18.2610026,52.27634209,6.713947917,7.180710099,224.5544271,54.6
04-04-20,18.35903646,68.48484829,6.844604167,7.076637636,221.3286458,51.6
05-04-20,18.43885417,84.24993,6.974583333,7.072695383,230.0520833,49.6
06-04-20,18.53688802,100.7917695,7.065239583,7.101956254,237.8263021,48.1
07-04-20,19.61670573,114.8901846,7.17521875,7.064680667,236.2164063,47.1
08-04-20,20.38140625,130.7653574,7.345875,6.993941538,244.990625,46.2
09-04-20,20.40416667,74.09046518,7.316166667,7.013176367,239.925,50.8
10-04-20,19.95238095,34.91590776,7.377142857,6.844687982,246.1904762,59.8
11-04-20,19.03333333,24.38902086,7.26,7.159008621,243.3333333,65
12-04-20,18.73333333,24.10022919,7.326666667,7.092376879,230.3333333,65.2
13-04-20,17.48964844,76.38337762,6.805364583,7.075354511,259.3190104,50.5
14-04-20,17.20786458,76.53801042,6.829375,6.875259227,246.703125,50.5
15-04-20,16.92608073,74.69264326,6.900052083,7.04183061,240.4205729,50.7
16-04-20,17.31096354,73.51394272,6.9040625,7.108401992,242.1380208,50.9
17-04-20,18.02917969,74.00190889,6.828072917,7.041640042,239.8554688,50.8
18-04-20,18.4140625,74.15654169,6.925416667,7.108211424,250.5729167,50.8
19-04-20,18.46561198,73.97784116,6.982760417,7.00811614,241.2903646,50.8
20-04-20,18.85049479,72.13247399,6.836770833,7.108020856,251.0078125,51.1
21-04-20,18.56871094,73.21551459,6.81878125,7.041188903,241.4919271,50.9
22-04-20,18.28692708,75.63188856,6.850791667,7.07435695,249.9760417,50.6
23-04-20,18.6718099,76.38159583,6.916135417,7.107524998,242.1268229,50.5
24-04-20,19.05669271,78.79796976,6.828145833,7.074026378,255.6109375,50.2
25-04-20,18.77490885,79.21434373,6.90015625,7.007194425,244.7617188,50.1
26-04-20,18.15979167,82.29738433,6.8055,7.107029139,248.9125,49.8
27-04-20,18.54467448,85.0470916,6.844177083,7.07353052,235.7299479,49.5
28-04-20,18.26289063,85.13013224,6.809520833,7.106698567,246.8807292,49.5
29-04-20,18.98110677,88.54650617,6.894864583,7.006533281,237.3648438,49.1
30-04-20,19.69932292,89.62954681,6.873541667,7.073034661,238.8489583,49
01-05-20,16.96958333,39.77972028,6.360641026,7.12147052,250.4455128,45.1
02-05-20,17.92095052,51.44662554,6.460604968,7.050765753,238.5069111,42.6
03-05-20,18.16588542,65.89334852,6.632548077,7.113654737,241.4667468,52
04-05-20,19.45058594,84.22692042,6.815845353,7.009616637,235.8614784,49.6
05-05-20,19.38040365,90.4504012,6.861798878,7.105708746,236.2054287,49
06-05-20,20.3284375,105.1173065,7.018429487,7.035003979,233.6001603,47.7
07-05-20,21.26158854,120.0074539,7.197716346,7.097762755,241.2774439,46.7
08-05-20,22.2096224,132.0076925,7.387680288,6.993724655,261.0055088,46.1
09-05-20,22.37666667,70.30610818,7.340769231,6.975624055,292.5512821,51.3
10-05-20,21.41809524,32.86971173,7.340695971,7.063717652,266.2527472,60.7
11-05-20,21.56333333,28.98093432,7.322051282,7.125620772,242.6923077,62.5
12-05-20,21.61666667,27.23501406,7.327692308,7.158952464,245.1794872,63.4
13-05-20,21.60279948,94.36376826,7.019010417,7.037987281,236.5091146,48.6
14-05-20,21.62101563,96.13883975,7.111592262,7.104524504,283.702753,48.4
15-05-20,21.30589844,95.24724454,7.044174107,7.037728393,260.5630581,48.5
16-05-20,21.65744792,96.68898269,7.126755952,7.104265615,253.7566964,48.4
17-05-20,21.34233073,98.13072081,7.082671131,7.037469505,240.9503348,48.3
18-05-20,21.36054688,97.2391256,7.065252976,6.970673394,237.8106399,48.3
19-05-20,21.37876302,97.01419709,7.044501488,7.103877283,248.0042783,48.4
20-05-20,21.39697917,96.12260188,6.990416667,6.970414506,244.8645833,48.4
21-05-20,21.41519531,95.85174817,7.004427083,7.103558193,247.5820313,48.5
22-05-20,21.43341146,94.24756116,6.9784375,7.070035214,253.6328125,48.6
23-05-20,21.4516276,91.97670745,7.239114583,7.136512234,256.3502604,48.8
24-05-20,21.13651042,90.37252041,6.966458333,7.069655922,256.734375,49
25-05-20,21.15472656,90.10166674,6.967135417,7.136132943,265.1184896,49
26-05-20,21.17294271,89.83081303,6.981145833,7.16927663,267.8359375,49
27-05-20,21.19115885,87.89329269,6.981822917,7.102420317,269.8867188,49.2
28-05-20,21.209375,85.95577231,6.9625,7.068897338,271.6041667,49.4
29-05-20,21.22759115,85.6849186,6.976510417,7.002041025,269.6549479,49.4
30-05-20,20.24580729,86.41406493,6.960520833,7.068518046,276.7057292,49.4
31-05-20,20.59735677,89.14226997,7.027864583,7.101780154,261.0898438,49.1
01-06-20,17.60446615,25.02040992,6.48234375,7.054182887,239.0091146,50
02-06-20,19.83583333,41.05134934,6.58,7.116872078,231.5833333,57.6
03-06-20,20.03076823,59.86210648,6.639635417,7.079821686,233.7226563,53
04-06-20,20.92880208,77.22637925,6.760625,7.042510877,244.296875,50.4
05-06-20,21.14195313,90.48056086,6.864270833,7.005330276,253.1536458,49
06-06-20,22.03998698,104.5115003,6.99859375,7.101352801,247.7278646,47.8
07-06-20,22.91980469,120.7656819,7.16890625,7.0641722,242.2513021,46.7
08-06-20,23.15117188,134.7966213,7.2365625,7.093528058,232.8255208,46
09-06-20,22.22916667,67.64064668,7.324166667,6.938118291,240.2083333,51.7
10-06-20,21.85714286,35.3751577,7.384761905,6.949322677,254.8380952,59.6
11-06-20,21.33333333,25.9460973,7.206666667,7.158741349,219.2,64.1
12-06-20,20.5,22.49198392,7.165,7.787954317,220.2,66.2
13-06-20,20.75125,142.9960719,6.88,7.700296611,233.725,45.6
14-06-20,20.77857422,141.7340466,6.886015625,7.699943592,233.7011719,45.7
15-06-20,20.80589844,140.4720213,6.89203125,7.699590572,233.6773438,45.7
16-06-20,20.83322266,139.2099959,6.898046875,7.699237553,233.6535157,45.8
17-06-20,20.86054688,137.9479707,6.9040625,7.698884534,233.6296875,45.8
18-06-20,20.8878711,136.6859453,6.910078125,7.698531515,233.6058594,45.9
19-06-20,20.91519532,135.42392,6.91609375,7.698178496,233.5820313,45.9
20-06-20,20.94251953,137.776311,6.925109375,7.698146767,236.1082032,45.8
21-06-20,20.96984375,140.1287019,6.934125,7.698115037,238.634375,45.7
22-06-20,20.99716797,142.4810929,6.943140625,7.698083307,241.1605469,45.6
23-06-20,21.02449219,144.8334839,6.95215625,7.698051577,243.6867188,45.5
24-06-20,21.05181641,147.1858748,6.961171875,7.698019848,246.2128907,45.4
25-06-20,21.07914063,149.5382658,6.9701875,7.697988118,248.7390625,45.3
26-06-20,21.10646485,151.8906567,6.979203125,7.697956388,251.2652344,45.2
27-06-20,21.13378907,154.2430477,6.98821875,7.697924658,253.7914063,45.1
28-06-20,21.16111328,156.5954387,6.997234375,7.697892929,256.3175782,45.1
29-06-20,21.1884375,158.9478296,7.00625,7.697861199,258.84375,45
30-06-20,21.36576172,158.5646488,7.022265625,7.697650785,259.1199219,45
01-07-20,16.73402344,41.11740545,5.97953125,7.731815371,245.9898438,44.7
02-07-20,17.73107422,60.68832619,6.176015625,7.725745582,248.5511719,41
03-07-20,18.67347657,78.92897348,6.36046875,7.720066418,250.9601563,38.9
04-07-20,19.67052735,98.49989424,6.556953125,7.713996629,253.5214844,48.2
05-07-20,20.64025391,117.4056782,6.747421875,7.708122153,256.0066407,46.9
06-07-20,21.63730469,136.976599,6.94390625,7.702052364,258.5679688,45.9
07-07-20,22.60703125,155.882383,7.134375,7.696177887,261.053125,45.1
08-07-20,23.60408203,175.4533038,7.330859375,7.690108098,263.6144532,44.4
09-07-20,23.3125,69.01621668,7.4225,7.550835184,265.875,51.5
10-07-20,22.36428572,21.86160279,7.375857143,7.602610555,269.6428572,66.6
11-07-20,22.3,14.47484604,7.281,7.788314496,242,72.4
12-07-20,22.45,14.01666072,7.274,7.788304152,240,72.8
13-07-20,23.67097657,155.9438269,7.16246875,7.694934433,253.9101563,45.1
14-07-20,23.84830078,156.1507784,7.161484375,7.694728776,251.9863282,45.1
15-07-20,24.025625,156.3577297,7.1605,7.694523119,250.0625,45.1
16-07-20,24.20294922,156.5646811,7.159515625,7.694317463,248.1386719,45.1
17-07-20,24.38027344,156.7716326,7.15853125,7.694111806,246.2148438,45.1
18-07-20,24.55759766,156.9785839,7.157546875,7.693906149,244.2910157,45
19-07-20,24.73492188,157.1855354,7.1565625,7.693700493,242.3671875,45
20-07-20,24.7122461,159.3192262,7.157078125,7.693536076,243.2433594,45
21-07-20,24.68957032,161.452917,7.15759375,7.693371659,244.1195313,44.9
22-07-20,24.66689453,163.5866078,7.158109375,7.693207242,244.9957032,44.8
23-07-20,24.64421875,165.7202986,7.158625,7.693042825,245.871875,44.7
24-07-20,24.62154297,167.8539894,7.159140625,7.692878408,246.7480469,44.7
25-07-20,24.59886719,169.9876802,7.15965625,7.692713991,247.6242188,44.6
26-07-20,24.57619141,172.121371,7.160171875,7.692549574,248.5003907,44.5
27-07-20,24.55351563,174.2550619,7.1606875,7.692385157,249.3765625,44.5
28-07-20,24.53083985,176.3887527,7.161203125,7.69222074,250.2527344,44.4
29-07-20,24.50816407,178.5224435,7.16171875,7.692056323,251.1289063,44.4
30-07-20,24.58548828,177.5935132,7.175234375,7.691810912,250.1550782,44.4
31-07-20,24.6628125,176.6645829,7.18875,7.691565501,249.18125,44.4
01-08-20,19.11134766,38.71748849,5.963046875,7.731554465,232.5160157,45.3
02-08-20,20.00839844,57.74265975,6.15703125,7.725449679,233.8273438,41.5
03-08-20,20.85080078,75.43755758,6.338984375,7.719735518,234.9863282,39.3
04-08-20,21.74785157,94.46272879,6.53296875,7.713630731,236.2976563,48.6
05-08-20,22.61757813,112.8227634,6.7209375,7.707721258,237.5328125,47.2
06-08-20,23.51462891,131.8479346,6.914921875,7.701616472,238.8441407,46.1
07-08-20,24.38435547,150.2079691,7.102890625,7.695706998,240.0792969,45.3
08-08-20,25.28140625,169.2331404,7.296875,7.689602212,241.390625,44.6
09-08-20,24.93125,58.20247434,7.37675,7.544289176,244.6375,53.3
10-08-20,23.94285715,15.51142885,7.319571429,7.580895784,253.3285715,71.5
11-08-20,23.95,9.811454792,7.254,7.788038105,227.1,76.7
12-08-20,24.1,9.897195017,7.257,7.78803757,228.3,76.6
13-08-20,26.16802735,172.9875251,7.341953125,7.688622971,247.7714844,44.5
14-08-20,26.34535157,173.738402,7.35096875,7.688427123,249.0476563,44.5
15-08-20,26.52267578,174.489279,7.359984375,7.688231275,250.3238282,44.5
16-08-20,26.7,175.2401559,7.369,7.688035427,251.6,44.4
17-08-20,26.81875,170.2633961,7.37325,7.681784892,252.8625,44.6
18-08-20,26.9375,165.2866364,7.3775,7.675534356,254.125,44.8
19-08-20,26.85625,162.3836711,7.36125,7.669325225,255.2375,44.9
20-08-20,26.775,159.4807058,7.345,7.663116094,256.35,45
21-08-20,26.69375,156.5777405,7.32875,7.656906962,257.4625,45.1
22-08-20,26.6125,153.6747753,7.3125,7.650697831,258.575,45.2
23-08-20,26.53125,150.77181,7.29625,7.6444887,259.6875,45.3
24-08-20,26.45,147.8688447,7.28,7.638279568,260.8,45.4
25-08-20,26.36875,144.9658794,7.26375,7.632070437,261.9125,45.5
26-08-20,26.2875,142.0629141,7.2475,7.625861305,263.025,45.6
27-08-20,26.20625,139.1599489,7.23125,7.619652174,264.1375,45.8
28-08-20,26.125,136.2569836,7.215,7.613443043,265.25,45.9
29-08-20,25.89375,131.028512,7.22075,7.607266823,268.5125,46.2
30-08-20,25.6625,125.8000403,7.2265,7.601090603,271.775,46.4
31-08-20,25.43125,120.5715687,7.23225,7.594914382,275.0375,46.7
01-09-20,19.68867188,50.01301897,5.8945625,7.731706912,260.5421875,42.8
02-09-20,20.33572266,70.46628562,6.085546875,7.725726005,266.1035157,39.8
03-09-20,20.928125,89.58927885,6.2645,7.720135722,271.5125,38
04-09-20,21.57517578,110.0425455,6.455484375,7.714154815,277.0738282,36.6
05-09-20,22.19490235,129.8306755,6.640453125,7.708369219,282.5589844,46.2
06-09-20,22.84195313,150.2839421,6.8314375,7.702388312,288.1203125,45.3
07-09-20,23.46167969,170.0720721,7.01640625,7.696602717,293.6054688,44.6
08-09-20,24.45873047,190.6901305,7.212890625,7.690468311,291.2667969,44
09-09-20,24.05,73.84490765,7.295,7.539021406,288.6,50.8
10-09-20,23.02142857,34.98658494,7.224285715,7.56037026,293.1142857,59.8
11-09-20,23.1,30.34254793,7.185,7.78886197,259.2,61.8
12-09-20,23.25,30.34136808,7.195,7.788782252,254.5,61.8
13-09-20,24.525,53.59018822,7.34,7.513702534,270.05,54.3
14-09-20,24.64375,48.52650836,7.35125,7.507372816,265.4125,55.5
15-09-20,24.7625,43.4628285,7.3625,7.501043099,260.775,56.9
16-09-20,24.88125,38.39914865,7.37375,7.494713381,256.1375,58.5
17-09-20,25,33.33546879,7.385,7.488383663,251.5,60.5
18-09-20,24.96875,33.62933292,7.3865625,7.500887666,251.375,60.4
19-09-20,24.9375,33.92319704,7.388125,7.513391669,251.25,60.2
20-09-20,24.90625,34.21706117,7.3896875,7.525895672,251.125,60.1
21-09-20,24.875,34.5109253,7.39125,7.538399675,251,60
22-09-20,24.84375,34.80478943,7.3928125,7.550903678,250.875,59.9
23-09-20,24.8125,35.09865356,7.394375,7.563407681,250.75,59.8
24-09-20,24.78125,35.39251768,7.3959375,7.575911684,250.625,59.6
25-09-20,24.75,35.68638181,7.3975,7.588415688,250.5,59.5
26-09-20,24.71875,35.98024594,7.3990625,7.600919691,250.375,59.4
27-09-20,24.6875,36.27411007,7.400625,7.613423694,250.25,59.3
28-09-20,24.65625,36.89593882,7.4021875,7.625922381,250.125,59.1
29-09-20,24.625,37.51776757,7.40375,7.638421068,250,58.8
30-09-20,24.59375,38.13959632,7.4053125,7.650919755,249.875,58.6
