Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-18,15.80916667,24.46432566,7.419583333,5.912853555,238.625,65
02-01-18,13.67083333,28.90742299,7.598916667,5.239947575,216.4833333,62.5
03-01-18,15.32083333,29.74635366,7.724916667,6.487874928,232.5708333,62.1
04-01-18,16.2,26.10611765,7.508833333,6.458718947,247.7,64
05-01-18,17.475,32.15338165,7.360666667,6.254562967,256.6833333,61
06-01-18,16.77083333,23.74231232,7.332708333,6.22124032,277.5833333,65.4
07-01-18,17.275,27.49582632,7.542458333,6.190001006,250.9625,63.2
08-01-18,17.71666667,34.75350699,7.50075,4.704595026,226.175,46.4
09-01-18,17.5125,32.46743765,7.48925,4.833772378,233.3458333,47.2
10-01-18,17.7875,29.18136832,7.379,5.037949731,240.0166667,62.4
11-01-18,16.25,25.72863232,7.44625,5.967127084,223.125,64.2
12-01-18,11.48666667,25.26422965,6.2935,5.958804437,220.5666667,49.8
13-01-18,14.34416667,30.44816032,7.429083333,4.93798179,213.8416667,47.9
14-01-18,14.22208333,26.64125765,7.412375,4.815075809,211.3875,49.3
15-01-18,14.1,26.83435498,7.375666667,4.792169829,210.9333333,49.2
16-01-18,13.70833333,28.21495231,7.459583333,4.721347182,219.7083333,48.6
17-01-18,13.65,27.59554965,7.356833333,4.750524535,255.8166667,48.9
18-01-18,13.25833333,28.97614698,7.467416667,4.946368554,213.925,48.4
19-01-18,13.2,28.02341098,7.288,5.142212574,224.0333333,63
20-01-18,13.475,28.73734164,7.39525,4.80472326,247.475,48.5
21-01-18,13.41666667,27.11793898,7.385833333,4.867233946,263.5833333,49.1
22-01-18,13.35833333,28.76835944,7.526916667,4.763102838,281.9916667,48.4
23-01-18,13.63333333,27.75211324,7.428,4.758971729,267.4,48.8
24-01-18,13.575,29.06920037,7.392416667,4.688173954,231.475,48.3
25-01-18,13.18333333,29.71962084,7.410166667,4.784042845,227.55,48.1
26-01-18,13.125,28.03670797,7.514583333,4.71324507,218.9583333,48.7
27-01-18,12.4,28.68712844,7.745666667,4.809113962,210.7,48.5
28-01-18,13.00833333,27.00421557,7.54675,5.138316186,219.775,63.5
29-01-18,12.95,27.98796937,7.791166667,4.734185078,214.1833333,48.7
30-01-18,12.89166667,28.63838984,7.808916667,4.763387303,217.2583333,48.5
31-01-18,12.5,28.2888103,7.743333333,4.692589528,217.6666667,48.6
01-02-18,14.52041667,26.12673077,7.740041667,5.557208419,220.8041667,64
02-02-18,12.84166667,26.79798457,7.8755,4.988493977,223.2333333,49.3
03-02-18,14.575,30.65673837,8.1245,6.201029535,235.5583333,47.8
04-02-18,15.5375,28.05715883,7.877666667,6.16773176,244.05,63
05-02-18,16.64583333,31.31174597,7.871666667,6.061517318,263.2916667,61.4
06-02-18,16.275,26.1913331,7.609416667,6.017802876,278.7,64
07-02-18,16.38333333,27.06675357,7.934666667,7.609505101,241.9,63.5
08-02-18,16.78333333,32.38800736,8.050125,6.174123992,219.4541667,47.3
09-02-18,16.725,29.43426116,8.065166667,6.009576217,245.5083333,48.3
10-02-18,16.58333333,26.8763483,8.126666667,6.409611775,225.6666667,49.2
11-02-18,15.425,22.4958272,7.944208333,7.405379059,225.2541667,66.2
12-02-18,10.50125,19.74759776,6.962270833,7.186563009,222.7270833,68.1
13-02-18,12.50416667,22.67228499,8.36575,7.24899696,217.7833333,50.9
14-02-18,12.11875,21.54694792,8.101375,6.897635683,224.075,51.5
15-02-18,12.109375,19.58968209,8.2059375,6.883523645,224.0625,52.4
16-02-18,12.13333333,20.84322169,8.430666667,7.392548811,227.0666667,51.7
17-02-18,12.5375,23.31686725,8.435916667,7.338316094,223.9875,50.6
18-02-18,12.60833333,22.45717949,8.391166667,7.250750045,224.2416667,51
19-02-18,12.67916667,22.59749172,8.363083333,7.363183995,236.4958333,50.9
20-02-18,12.75,23.40447062,8.351666667,7.542284612,253.4166667,50.6
21-02-18,12.85416667,22.78686904,8.222583333,7.288273603,230.9375,50.9
22-02-18,13.625,21.16926746,8.246833333,7.434262594,224.4583333,51.6
23-02-18,13.72916667,19.88499922,8.181083333,7.480251585,223.6458333,52.3
24-02-18,13.83333333,20.26739764,8.208666667,7.492907243,227.8333333,52.1
25-02-18,13.9375,20.31646273,8.28625,7.572229567,224.0208333,52
26-02-18,14.04166667,17.69886116,8.143833333,7.418218558,224.875,53.4
27-02-18,14.14583333,16.08125958,8.098083333,7.530874216,222.3958333,54.2
28-02-18,14.25,15.463658,8.062333333,7.51019654,222.5833333,54.6
01-03-18,14.59833333,9.616889762,7.697833333,6.668685531,229.5833333,76.9
02-03-18,12.72916667,13.12428819,7.814583333,6.404257855,224.0833333,73.6
03-03-18,14.5625,16.00979571,8.11975,7.647833758,224.3458333,54.3
04-03-18,15.625,15.79113657,7.828666667,7.543492994,226.5666667,71.3
05-03-18,16.58333333,17.25997743,7.834666667,7.268318897,253.4333333,70
06-03-18,15.89583333,13.43715163,7.714625,7.513978133,266.05,73.4
07-03-18,16.29166667,16.77474249,7.685208333,7.361720703,229.4375,70.4
08-03-18,16.66666667,26.49983335,7.777666667,6.242796605,218.3666667,63.8
09-03-18,16.77083333,23.88534088,7.79575,6.184289175,222.3375,65.3
10-03-18,16.5625,22.3958484,7.6755,6.513281744,234.35,66.3
11-03-18,15.5,24.15635593,7.593166667,7.442274314,215.05,65.1
12-03-18,10.79916667,18.85978012,6.855208333,7.31293355,215.5208333,68.8
13-03-18,13.72916667,24.6975945,7.9075,7.446220085,219.925,64.8
14-03-18,13.29166667,25.35332554,7.758333333,7.400339953,229.5166667,64.4
15-03-18,13.1875,24.34238992,7.819166667,7.554459821,223.4416667,65
16-03-18,13.08333333,23.99812096,7.76,7.408579689,223.0333333,65.2
17-03-18,12.97916667,25.32051867,7.700833333,7.39603289,224.625,64.5
18-03-18,12.875,25.97624971,7.631666667,7.516819425,224.2166667,64.1
19-03-18,12.77083333,23.63198075,7.485833333,7.404272626,220.1416667,65.5
20-03-18,12.66666667,24.62104513,7.526666667,7.491725828,231.7333333,64.9
21-03-18,12.85416667,24.08927617,7.431666667,7.366679029,237.7833333,65.2
22-03-18,13.375,25.22417388,7.513333333,7.54163223,227.8333333,64.5
23-03-18,13.59583333,26.93719118,7.515666667,7.383315474,236.05,63.5
24-03-18,13.81666667,27.31687515,7.478,7.524998717,243.6,63.3
25-03-18,14.37083333,25.69655912,7.610333333,7.36668196,257.4833333,64.2
26-03-18,14.59166667,24.40957642,7.629333333,7.341698536,257.7,65
27-03-18,14.8125,23.78926039,7.631666667,7.28338178,260.5833333,65.4
28-03-18,15.03333333,23.16894435,7.654,7.425065023,263.4666667,65.8
29-03-18,15.25416667,24.21529499,7.776333333,7.566748266,257.35,65.1
30-03-18,15.475,25.59497896,7.755333333,7.441764843,253.5666667,64.3
31-03-18,15.69583333,26.64132959,7.671,7.383448086,254.1166667,63.7
01-10-18,19.52708333,18.09116182,7.267620614,5.439795979,203.6129386,69.4
02-10-18,19.54166667,15.30189577,7.531535088,5.971053418,204.4298246,71.7
03-10-18,20.375,18.11679639,7.474824561,6.350227524,206.7675439,69.3
04-10-18,22.10416667,21.99419701,7.317280702,6.108568296,226.2719298,66.5
05-10-18,22.54166667,17.9757643,7.329945175,6.171075736,264.6929825,69.5
06-10-18,22.08333333,17.69066492,7.289692982,6.125249841,292.4057018,69.7
07-10-18,22,17.25139887,7.292982456,6.72525728,254.0350877,70
08-10-18,22.08333333,27.79546616,7.358563596,5.756514719,236.810307,63.1
09-10-18,23.20833333,19.21453345,7.41872807,5.841938825,234.0855263,68.5
10-10-18,22.41666667,17.19610074,7.343684211,6.775279598,248.2982456,70.1
11-10-18,21.79166667,18.38600136,7.389682018,7.07112037,233.4067982,69.1
12-10-18,18.08458333,17.02652698,6.560367325,7.002377809,238.4841009,70.2
13-10-18,22.02083333,18.34913593,7.300219298,6.954468582,252.4780702,69.2
14-10-18,22.66666667,19.95570322,7.343508772,7.125309354,250.9824561,68
15-10-18,22.60416667,21.54143717,7.388464912,7.056566793,256.2993421,66.8
16-10-18,22.54166667,21.46050446,7.286754386,6.987824232,236.9495614,66.9
17-10-18,22.14583333,23.37957175,7.48504386,7.119081671,241.2664474,65.6
18-10-18,22.41666667,22.63197237,7.373333333,6.983672444,230.25,66.1
19-10-18,22.72083333,22.05536484,7.453833333,7.048241415,239.0125,66.5
20-10-18,22.025,25.14542397,7.394333333,6.979477053,235.775,64.6
21-10-18,21.99583333,22.90214977,7.378166667,7.110712692,234.8708333,65.9
22-10-18,21.96666667,23.99220891,7.395333333,7.04194833,241.9666667,65.3
23-10-18,21.9375,23.08226804,7.2925,6.939850635,232.3958333,65.8
24-10-18,22.575,22.50566051,7.316333333,7.104419606,222.825,66.2
25-10-18,22.2125,23.92905298,7.4435,6.968988578,238.2541667,65.3
26-10-18,21.85,23.68577878,7.377333333,7.100224216,230.35,65.4
27-10-18,21.82083333,24.77583791,7.3445,7.031459854,224.1125,64.8
