Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-13,16,42.15,7.45,3.8,265,44.2
02-01-13,16,46.7,7.99,2.5,269,42.5
03-01-13,16,47.15,8.05,2.3,248,26.4
04-01-13,10,22,8.18,4.6,199,33.1
05-01-13,11,35,8.4,3.8,280,29.2
07-01-13,10,28,8.41,4.2,181,31.1
09-01-13,12,34.8,8.6,3.6,254,29.2
13-01-13,13,30.2,7.99,3.1,267,47
14-01-13,12,32.7,8.3,3.6,255,29.7
15-01-13,12,34.7,8.5,3.9,270,29.3
20-01-13,14,50.2,8.18,3.4,254,26.5
21-01-13,13,49.3,8.34,2.4,256,26.2
23-01-13,14,65,8.4,2.4,242,24.4
24-01-13,14,56,8.3,3,256,25.6
26-01-13,14,60,8.44,3,257,25.1
27-01-13,12,66,8.44,2.4,255,24.3
29-01-13,11.3,30.84,8.9,7,250,47.6
30-01-13,21,13,8.13,3.6,165,35.8
31-01-13,13,34,8.8,3.6,272,29.3
01-02-13,14,30.35,8.42,3.6,252,30.2
07-02-13,13,330,8.4,5.5,271,32
09-02-13,13,202,8.35,3.6,245,19.4
12-02-13,14,94,8.44,4.8,280,22.7
13-02-13,12,89,8.25,2.5,160,22.7
14-02-13,14,70,8.53,3.6,289,24.3
15-02-13,13.5,74.7,8.42,3.7,202,23.9
16-02-13,14,52.7,8.36,4.8,298,26.4
18-02-13,13,60,8.46,4.8,219,25.5
19-02-13,14,50.2,8.41,2,190,25.8
20-02-13,12,55.2,8.24,2.3,172,25.4
22-02-13,12,45.26,8.12,2.4,148,26.8
23-02-13,13,49.15,8.4,3.3,280,26.6
24-02-13,15,30,8.32,3.3,177,30.2
26-02-13,12,35.2,8.25,2.7,192,28.7
27-02-13,12,40.7,8.3,2.1,180,27.2
28-02-13,12,43.2,8.08,2.7,204,27.3
02-03-13,13,48,8.15,2.8,213,26.6
03-03-13,14,54,8.15,2.3,219,25.6
04-03-13,13,38,8.25,2.8,249,28.2
06-03-13,16,45,8.18,2.8,195,27
08-03-13,16,42,8.35,2.7,219,27.4
11-03-13,16,54,8.2,2.2,204,25.5
14-03-13,17,98,8.35,3.9,189,22.4
19-03-13,16,50,8.18,2.4,199,26.1
20-03-13,16,60,8.4,3.3,230,25.2
21-03-13,15,54,8.1,3.2,214,25.9
22-03-13,16,38,8.24,3.8,199,28.6
23-03-13,16,48,8.3,2.9,227,26.6
24-03-13,16,64.2,8.3,2.3,247,24.5
26-03-13,16,64.2,8.9,2.9,209,24.7
27-03-13,16,52.7,8.18,2.7,198,25.9
28-03-13,16,63,8.25,2.3,209,24.6
29-03-13,13,40,8.45,2.3,235,27.5
05-04-13,14,8,8.2,3.1,154,37.3
07-04-13,16,16.2,8.7,3.5,168,34.4
11-04-13,18.7,7.2,8.54,5,232,58.7
12-04-13,18,12.7,8.4,3.7,185,35.9
14-04-13,19,16.78,8.36,4.6,182,34.9
15-04-13,19,18.25,8.54,4.5,162,34.3
16-04-13,20,14.76,8.4,4.7,169,35.7
17-04-13,19,12.7,8.56,3.6,195,35.8
19-04-13,20,8.2,8.2,2.1,155,35.7
20-04-13,21,9.12,8.17,2.4,171,35.9
24-04-13,19,13.7,8.3,3.7,230,35.6
25-04-13,20,17.25,8.4,4.7,220,34.7
